idx,agent,size,slots,lp_norm,cost,reward,prestige,score
165,EDU,L,s_2,0.7804258323689703,1.8243406658951762,0.5467626397222634,0.6480425832368971,0.6510242703934541
166,EDU,L,s_10,0.7804258323689703,1.8243406658951762,0.5467626397222634,0.6480425832368971,0.6510242703934541
168,EDU,L,s_337,0.7794881523815038,1.823590521905203,0.5464925878858731,0.6479488152381505,0.6509115091338914
97,EDU,M,s_232,0.8332767194368945,1.1199728253297092,0.20599184759891276,0.45332767194368945,0.4176869862617556
112,EDU,M,s_108,0.8315889032043593,1.1191626735380924,0.2057488020614277,0.45315889032043594,0.4175145476615472
93,EDU,M,s_112,0.8304812526202129,1.118631001257702,0.2055893003773106,0.4530481252620213,0.41740138266611215
98,EDU,M,s_80,0.8303258603355701,1.1185564129610737,0.20556692388832204,0.453032586033557,0.41738550675051744
103,EDU,M,s_88,0.8302893634006143,1.118538894432295,0.20556166832968842,0.4530289363400614,0.417381777979426
62,EDU,M,s_4,0.8297743970583931,1.1182917105880286,0.20548751317640856,0.4529774397058393,0.4173291655720471
79,EDU,M,s_302,0.8297743970583931,1.1182917105880286,0.20548751317640856,0.4529774397058393,0.4173291655720471
82,EDU,M,s_36,0.8297743970583931,1.1182917105880286,0.20548751317640856,0.4529774397058393,0.4173291655720471
94,EDU,M,s_28,0.8297743970583931,1.1182917105880286,0.20548751317640856,0.4529774397058393,0.4173291655720471
117,EDU,M,s_8,0.8297743970583931,1.1182917105880286,0.20548751317640856,0.4529774397058393,0.4173291655720471
68,EDU,M,s_312,0.825793577455484,1.1163809171786323,0.20491427515358968,0.4525793577455484,0.41692245840406567
70,EDU,M,s_235,0.8252981539070827,1.1161431138753997,0.2048429341626199,0.45252981539070825,0.4168718426192724
78,EDU,M,s_107,0.8188364743924081,1.1130415077083557,0.2039124523125067,0.4518836474392408,0.41621167420222177
102,EDU,M,s_101,0.8184112745297965,1.1128374117743023,0.20385122353229063,0.45184112745297966,0.41616823293906513
75,EDU,M,s_9,0.8178891672404074,1.1125868002753954,0.20377604008261863,0.45178891672404076,0.4161148909647403
110,EDU,M,s_15,0.8178891672404074,1.1125868002753954,0.20377604008261863,0.45178891672404076,0.4161148909647403
113,EDU,M,s_329,0.8178891672404074,1.1125868002753954,0.20377604008261863,0.45178891672404076,0.4161148909647403
87,EDU,M,s_122,0.8178399626410442,1.112563182067701,0.2037689546203103,0.4517839962641044,0.41610986389362065
101,EDU,M,s_93,0.8155195483294014,1.1114493831981127,0.20343481495943372,0.45155195483294014,0.41587279484066925
96,EDU,M,s_113,0.8155051334640655,1.1114424640627514,0.20343273921882538,0.45155051334640656,0.41587132212157063
