slot_id,x,y,angle_deg
s_480,93.299930,117.339233,195.32
s_481,103.047306,114.616408,191.64
s_482,82.527130,114.880955,181.36
s_483,89.917428,114.240412,188.81
s_484,86.950534,118.118740,179.01
s_485,88.505513,114.075869,185.97
s_486,97.749083,113.150570,202.66
s_487,92.110383,116.050182,190.47
s_488,101.392676,113.906536,204.65
s_489,97.155879,120.468914,199.11
s_490,97.898442,116.604712,199.70
s_491,97.240830,114.754542,192.99
s_492,82.291876,118.502418,175.27
s_493,102.188399,119.401669,204.21
s_494,104.339455,123.755543,206.74
s_495,87.741077,115.593316,184.44
s_496,89.721995,112.033611,180.62
s_497,100.829850,115.579259,204.21
s_498,98.823889,121.627924,195.81
s_499,102.212316,122.881038,208.52
s_500,98.302821,118.417402,202.82
s_501,100.325492,118.860370,200.73
s_502,90.710012,120.287577,175.23
s_503,89.962846,116.414215,191.32
s_504,83.120145,117.185011,180.14
s_505,88.353040,119.901604,177.67
s_506,99.773664,117.085021,202.15
s_507,81.234453,116.638595,178.12
s_508,94.040440,115.934099,194.17
s_509,95.023847,118.248150,195.76
s_510,93.033130,112.489902,190.86
s_511,91.488976,112.315713,179.90
s_512,93.340801,114.355615,192.24
s_513,87.541133,112.952289,186.15
s_514,102.912368,121.378271,206.19
s_515,100.791907,121.066915,199.76
s_516,91.340257,114.591389,193.42
s_517,89.401071,118.619678,187.92
s_518,96.051305,116.491457,197.91
s_519,94.710920,127.588536,359.74
s_520,106.396284,133.896340,26.38
s_521,76.853934,125.307544,178.95
s_522,101.125129,128.938089,16.75
s_523,100.839810,131.252714,21.58
s_524,92.453196,125.183882,192.71
s_525,116.627343,137.632710,20.38
s_526,100.279475,124.746343,209.72
s_527,87.741166,123.592135,183.81
s_528,78.933220,123.694348,181.57
s_529,115.832769,136.313522,19.71
s_530,96.087474,130.825336,19.91
s_531,92.150401,129.913466,349.50
s_532,114.138485,136.345468,24.64
s_533,101.839951,127.466367,204.29
s_534,91.978463,123.642939,195.03
s_535,101.866797,133.504330,30.41
s_536,110.369881,134.290907,23.57
s_537,96.552156,128.552125,3.36
s_538,106.521456,135.323646,36.68
s_539,119.533603,137.981584,22.99
s_540,93.754261,130.719218,13.24
s_541,91.346681,122.086509,195.57
s_542,101.771363,132.144738,23.59
s_543,97.752017,127.567888,6.84
s_544,97.736625,131.603959,11.95
s_545,107.543549,132.798161,22.84
s_546,114.924180,138.687938,27.33
s_547,108.523500,135.969540,30.00
s_548,105.441894,127.619309,196.57
s_549,103.560046,128.321710,210.05
s_550,104.664070,126.143904,194.78
s_551,113.156572,135.136893,26.97
s_552,109.023584,133.445895,27.10
s_553,84.548292,122.447818,183.13
s_554,89.941996,123.625819,185.94
s_555,99.388671,128.396478,10.96
s_556,79.471363,124.957230,176.90
s_557,95.447772,122.365471,207.34
s_558,97.316680,123.233175,195.51
s_559,101.938698,125.781177,210.79
s_560,107.278866,126.733959,202.23
s_561,86.221845,125.166314,185.13
s_562,90.127446,129.997678,358.65
s_563,94.909877,129.431724,4.28
s_564,104.880947,132.741620,24.29
s_565,94.782201,123.734129,197.37
s_566,106.319971,131.634490,26.37
s_567,85.702773,123.643743,180.78
s_568,98.916418,123.876274,204.19
s_569,82.671345,124.326025,180.56
